Strategy,Total Return,Excess Return vs Benchmark,Excess Return vs CRP,Sharpe Ratio,Sharpe Gap vs Benchmark,Sharpe Gap vs CRP,Max Drawdown,Final Value,Average Turnover,Total Cost Rate,Average Cash,Return Gap vs S&P 500,Sharpe Gap vs S&P 500,Return Gap vs CRP,Return Gap vs Equal Weight,Sharpe Gap vs Equal Weight,Return Gap vs Buy & Hold EW,Sharpe Gap vs Buy & Hold EW
RL Agent,0.9648734960310716,0.7061498232214776,0.4395333945800086,2.278984193971677,1.2122572544804782,0.3055282268338353,-0.17000386578907126,982436.748015536,0.012201444679221757,0.008248176603153908,0.019727824948418692,0.7061498232214776,1.2122572544804782,0.4395333945800086,0.334222219062545,0.3054452193571524,0.3139008753350816,0.31060795595590496
S&P 500,0.2587236728095941,0.0,-0.26661642864146895,1.0667269394911987,0.0,-0.9067290276466429,-0.18902206184284,636739.0976961913,0.0,0.0,0.0,0.0,0.0,-0.26661642864146895,-0.37192760415893256,-0.9068120351233258,-0.39224894788639597,-0.9016492985245732
CRP,0.525340101451063,0.26661642864146895,0.0,1.9734559671378415,0.9067290276466429,0.0,-0.13094213746321637,762670.0507255312,0.011321017444363717,0.0076530077923898715,0.14521230413719177,0.26661642864146895,0.9067290276466429,0.0,-0.1053111755174636,-8.300747668288366e-05,-0.12563251924492702,0.005079729122069665
Equal Weight,0.6306512769685266,0.37192760415893256,0.1053111755174636,1.9735389746145244,0.9068120351233258,8.300747668288366e-05,-0.1516859356856243,815325.6384842632,0.013179051539123847,0.00890903884044772,0.0029498525073746312,0.37192760415893256,0.9068120351233258,0.1053111755174636,0.0,0.0,-0.020321343727463415,0.005162736598752549
Buy & Hold EW,0.65097262069599,0.39224894788639597,0.12563251924492702,1.9683762380157719,0.9016492985245732,-0.005079729122069665,-0.1491407423964342,825486.3103479975,0.002958579881656834,0.00200000000000002,0.0029498525073746312,0.39224894788639597,0.9016492985245732,0.12563251924492702,0.020321343727463415,-0.005162736598752549,0.0,0.0
Inverse Vol,0.41661047920294036,0.1578868063933463,-0.10872962224812266,1.4907149578769614,0.4239880183857627,-0.48274100926088015,-0.1577987235255643,708305.2396014698,0.11487722715201536,0.07765700555476238,0.0029498525073746312,0.1578868063933463,0.4239880183857627,-0.10872962224812266,-0.21404079776558627,-0.48282401673756303,-0.23436214149304968,-0.4776612801388105
Min Variance,-0.010025191136456613,-0.2687488639460507,-0.5353652925875196,0.05447568188006113,-1.0122512576111375,-1.9189802852577804,-0.16475588496606433,494987.40443177166,0.45617019970801925,0.30837105500262096,0.0029498525073746312,-0.2687488639460507,-1.0122512576111375,-0.5353652925875196,-0.6406764681049832,-1.9190632927344633,-0.6609978118324467,-1.9139005561357108
Mean-Variance,0.26482607636098754,0.006102403551393465,-0.2605140250900755,0.7590197339273236,-0.3077072055638751,-1.214436233210518,-0.137451166363672,632413.038180495,0.25933221905484155,0.17530858008107292,0.04557899405834939,0.006102403551393465,-0.3077072055638751,-0.2605140250900755,-0.3658252006075391,-1.214519240687201,-0.3861465443350025,-1.2093565040884484
Momentum,0.4051862653985798,0.14646259258898575,-0.1201538360524832,1.2453703889804195,0.17864344948922084,-0.728085578157422,-0.14588844313728702,702593.1326992906,0.41808157124665785,0.28262314216274065,0.02654867256637168,0.14646259258898575,0.17864344948922084,-0.1201538360524832,-0.2254650115699468,-0.7281685856341049,-0.24578635529741022,-0.7230058490353524
Random Long-Only,-0.03980319854425929,-0.29852687135385336,-0.5651432999953223,-0.04043695614529309,-1.1071638956364918,-2.0138929232831346,-0.22093515246663392,480098.40072787006,0.9105668437078107,0.6155431863464802,0.0029498525073746312,-0.29852687135385336,-1.1071638956364918,-0.5651432999953223,-0.6704544755127859,-2.0139759307598175,-0.6907758192402493,-2.008813194161065
